Time Step,Vehicle Speed,Total Distance,Total BSFC,BSFC
15.8,8.46,125.23,106.08,0.01
15.85,8.45,125.65,106.08,0.01
15.9,8.44,126.08,106.08,0.01
15.95,8.44,126.5,106.08,0.01
16.0,8.43,126.92,106.08,0.01
16.05,8.42,127.34,106.08,0.01
16.1,8.42,127.76,106.08,0.01
16.15,8.41,128.18,106.08,0.01
16.2,8.4,128.6,106.08,0.01
16.25,8.4,129.02,106.08,0.01
16.3,8.39,129.44,106.08,0.01
16.35,8.38,129.86,106.08,0.01
16.4,8.37,130.28,106.08,0.01
16.45,8.37,130.7,106.08,0.01
16.5,8.36,131.12,106.08,0.01
16.55,8.35,131.53,106.08,0.01
16.6,8.35,131.95,106.08,0.01
16.65,8.34,132.37,106.08,0.01
16.7,8.33,132.78,106.08,0.01
16.75,8.33,133.2,106.08,0.01
16.8,8.32,133.62,106.08,0.01
16.85,8.31,134.03,106.08,0.01
16.9,8.3,134.45,106.08,0.01
16.95,8.3,134.86,106.08,0.01
17.0,8.29,135.28,106.08,0.01
17.05,8.28,135.69,106.08,0.01
17.1,8.28,136.1,106.08,0.01
17.15,8.27,136.52,106.08,0.01
17.2,8.26,136.93,106.08,0.01
17.25,8.26,137.34,106.08,0.01
17.3,8.25,137.76,106.08,0.01
17.35,8.24,138.17,106.08,0.01
17.4,8.23,138.58,106.08,0.01
17.45,8.23,138.99,106.08,0.01
17.5,8.22,139.4,106.08,0.01
17.55,8.21,139.81,106.08,0.01
17.6,8.21,140.22,106.08,0.01
17.65,8.2,140.63,106.08,0.01
17.7,8.19,141.04,106.08,0.01
17.75,8.19,141.45,106.08,0.01
17.8,8.18,141.86,106.08,0.01
17.85,8.17,142.27,106.08,0.01
17.9,8.17,142.68,106.08,0.01
17.95,8.16,143.09,106.08,0.01
18.0,8.15,143.49,106.08,0.01
18.05,8.14,143.9,106.08,0.01
18.1,8.14,144.31,106.08,0.01
18.15,8.13,144.71,106.08,0.01
18.2,8.12,145.12,106.08,0.01
18.25,8.12,145.53,106.08,0.01
18.3,8.11,145.93,106.08,0.01
18.35,8.1,146.34,106.08,0.01
18.4,8.1,146.74,106.08,0.01
18.45,8.09,147.15,106.08,0.01
18.5,8.08,147.55,106.08,0.01
18.55,8.08,147.96,106.08,0.01
18.6,8.07,148.36,106.08,0.01
18.65,8.06,148.76,106.08,0.01
18.7,8.06,149.16,106.08,0.01
18.75,8.05,149.57,106.08,0.01
18.8,8.04,149.97,106.08,0.01
18.85,8.04,150.37,106.08,0.01
18.9,8.03,150.77,106.08,0.01
18.95,8.02,151.17,106.08,0.01
19.0,8.02,151.57,106.08,0.01
19.05,8.01,151.97,106.08,0.01
19.1,8.0,152.37,106.08,0.01
19.15,7.99,152.77,106.08,0.01
19.2,7.99,153.17,106.08,0.01
19.25,7.98,153.57,106.08,0.01
19.3,7.97,153.97,106.08,0.01
19.35,7.97,154.37,106.08,0.01
19.4,7.96,154.77,106.08,0.01
19.45,7.95,155.17,106.08,0.01
19.5,7.95,155.56,106.08,0.01
19.55,7.94,155.96,106.08,0.01
19.6,7.93,156.36,106.08,0.01
19.65,7.93,156.75,106.08,0.01
19.7,7.92,157.15,106.08,0.01
19.75,7.91,157.54,106.08,0.01
19.8,7.91,157.94,106.08,0.01
19.85,7.9,158.34,106.08,0.01
19.9,7.89,158.73,106.08,0.01
19.95,7.89,159.12,106.08,0.01
20.0,7.88,159.52,106.08,0.01
20.05,7.87,159.91,106.08,0.01
20.1,7.87,160.31,106.08,0.01
20.15,7.86,160.7,106.08,0.01
20.2,7.85,161.09,106.08,0.01
20.25,7.85,161.48,106.08,0.01
20.3,7.84,161.88,106.08,0.01
20.35,7.83,162.27,106.08,0.01
20.4,7.83,162.66,106.08,0.01
20.45,7.82,163.05,106.08,0.01
20.5,7.81,163.44,106.08,0.01
20.55,7.81,163.83,106.08,0.01
20.6,7.8,164.22,106.08,0.01
20.65,7.79,164.61,106.08,0.01
20.7,7.79,165.0,106.08,0.01
20.75,7.78,165.39,106.08,0.01
20.8,7.77,165.78,106.08,0.01
20.85,7.77,166.17,106.08,0.01
20.9,7.76,166.55,106.08,0.01
20.95,7.75,166.94,106.08,0.01
21.0,7.75,167.33,106.08,0.01
21.05,7.74,167.72,106.08,0.01
21.1,7.73,168.1,106.08,0.01
21.15,7.73,168.49,106.08,0.01
21.2,7.72,168.88,106.08,0.01
21.25,7.71,169.26,106.08,0.01
21.3,7.71,169.65,106.08,0.01
21.35,7.7,170.03,106.08,0.01
21.4,7.69,170.42,106.08,0.01
21.45,7.69,170.8,106.08,0.01
21.5,7.68,171.18,106.08,0.01
21.55,7.68,171.57,106.08,0.01
21.6,7.67,171.95,106.08,0.01
21.65,7.66,172.33,106.08,0.01
21.7,7.66,172.72,106.08,0.01
21.75,7.65,173.1,106.08,0.01
21.8,7.64,173.48,106.08,0.01
21.85,7.64,173.86,106.08,0.01
21.9,7.63,174.25,106.08,0.01
21.95,7.62,174.63,106.08,0.01
22.0,7.62,175.01,106.08,0.01
22.05,7.61,175.39,106.08,0.01
22.1,7.6,175.77,106.08,0.01
22.15,7.6,176.15,106.08,0.01
22.2,7.59,176.53,106.08,0.01
22.25,7.58,176.91,106.08,0.01
22.3,7.58,177.29,106.08,0.01
22.35,7.57,177.66,106.08,0.01
22.4,7.56,178.04,106.08,0.01
22.45,7.56,178.42,106.08,0.01
22.5,7.55,178.8,106.08,0.01
22.55,7.54,179.17,106.08,0.01
22.6,7.54,179.55,106.08,0.01
22.65,7.53,179.93,106.08,0.01
22.7,7.53,180.3,106.08,0.01
22.75,7.52,180.68,106.08,0.01
22.8,7.51,181.06,106.08,0.01
22.85,7.51,181.43,106.08,0.01
22.9,7.5,181.81,106.08,0.01
22.95,7.49,182.18,106.08,0.01
23.0,7.49,182.56,106.08,0.01
23.05,7.48,182.93,106.08,0.01
23.1,7.47,183.3,106.08,0.01
23.15,7.47,183.68,106.08,0.01
23.2,7.46,184.05,106.08,0.01
23.25,7.45,184.42,106.08,0.01
23.3,7.45,184.79,106.08,0.01
23.35,7.44,185.17,106.08,0.01
23.4,7.44,185.54,106.08,0.01
23.45,7.43,185.91,106.08,0.01
23.5,7.42,186.28,106.08,0.01
23.55,7.42,186.65,106.08,0.01
23.6,7.41,187.02,106.08,0.01
23.65,7.4,187.39,106.08,0.01
23.7,7.4,187.76,106.08,0.01
23.75,7.39,188.13,106.08,0.01
23.8,7.38,188.5,106.08,0.01
23.85,7.38,188.87,106.08,0.01
23.9,7.37,189.24,106.08,0.01
23.95,7.36,189.61,106.08,0.01
24.0,7.36,189.97,106.08,0.01
24.05,7.35,190.34,106.08,0.01
24.1,7.35,190.71,106.08,0.01
24.15,7.34,191.08,106.08,0.01
24.2,7.33,191.44,106.08,0.01
24.25,7.33,191.81,106.08,0.01
24.3,7.32,192.18,106.08,0.01
24.35,7.31,192.54,106.08,0.01
24.4,7.31,192.91,106.08,0.01
24.45,7.3,193.27,106.08,0.01
24.5,7.3,193.64,106.08,0.01
24.55,7.29,194.0,106.08,0.01
24.6,7.28,194.36,106.08,0.01
24.65,7.28,194.73,106.08,0.01
24.7,7.27,195.09,106.08,0.01
24.75,7.26,195.46,106.08,0.01
24.8,7.26,195.82,106.08,0.01
24.85,7.25,196.18,106.08,0.01
24.9,7.24,196.54,106.08,0.01
24.95,7.24,196.9,106.08,0.01
25.0,7.23,197.27,106.08,0.01
25.05,7.23,197.63,106.08,0.01
25.1,7.22,197.99,106.08,0.01
25.15,7.21,198.35,106.08,0.01
25.2,7.21,198.71,106.08,0.01
25.25,7.2,199.07,106.08,0.01
25.3,7.19,199.43,106.08,0.01
25.35,7.19,199.79,106.08,0.01
25.4,7.18,200.15,106.08,0.01
25.45,7.18,200.51,106.08,0.01
25.5,7.17,200.87,106.08,0.01
25.55,7.16,201.22,106.08,0.01
25.6,7.16,201.58,106.08,0.01
25.65,7.15,201.94,106.08,0.01
25.7,7.14,202.3,106.08,0.01
25.75,7.14,202.65,106.08,0.01
25.8,7.13,203.01,106.08,0.01
25.85,7.13,203.37,106.08,0.01
25.9,7.12,203.72,106.08,0.01
25.95,7.11,204.08,106.08,0.01
26.0,7.11,204.43,106.08,0.01
26.05,7.1,204.79,106.08,0.01
26.1,7.09,205.14,106.08,0.01
26.15,7.09,205.5,106.08,0.01
26.2,7.08,205.85,106.08,0.01
26.25,7.08,206.21,106.08,0.01
26.3,7.07,206.56,106.08,0.01
26.35,7.06,206.91,106.08,0.01
26.4,7.06,207.26,106.08,0.01
26.45,7.05,207.62,106.08,0.01
26.5,7.05,207.97,106.08,0.01
26.55,7.04,208.32,106.08,0.01
26.6,7.03,208.67,106.08,0.01
26.65,7.03,209.02,106.08,0.01
26.7,7.02,209.38,106.08,0.01
26.75,7.01,209.73,106.08,0.01
26.8,7.01,210.08,106.08,0.01
26.85,7.0,210.43,106.08,0.01
26.9,7.0,210.78,106.08,0.01
26.95,6.99,211.13,106.08,0.01
27.0,6.98,211.48,106.08,0.01
27.05,6.98,211.82,106.08,0.01
27.1,6.97,212.17,106.08,0.01
27.15,6.97,212.52,106.08,0.01
27.2,6.96,212.87,106.08,0.01
27.25,6.95,213.22,106.08,0.01
27.3,6.95,213.56,106.08,0.01
27.35,6.94,213.91,106.08,0.01
27.4,6.93,214.26,106.08,0.01
27.45,6.93,214.6,106.08,0.01
27.5,6.92,214.95,106.08,0.01
27.55,6.92,215.3,106.08,0.01
27.6,6.91,215.64,106.08,0.01
27.65,6.9,215.99,106.08,0.01
27.7,6.9,216.33,106.08,0.01
27.75,6.89,216.68,106.08,0.01
27.8,6.89,217.02,106.08,0.01
27.85,6.88,217.36,106.08,0.01
27.9,6.87,217.71,106.08,0.01
27.95,6.87,218.05,106.08,0.01
28.0,6.86,218.4,106.08,0.01
28.05,6.86,218.74,106.08,0.01
28.1,6.85,219.08,106.08,0.01
28.15,6.84,219.42,106.08,0.01
28.2,6.84,219.76,106.08,0.01
28.25,6.83,220.11,106.08,0.01
28.3,6.83,220.45,106.08,0.01
28.35,6.82,220.79,106.08,0.01
28.4,6.81,221.13,106.08,0.01
28.45,6.81,221.47,106.08,0.01
28.5,6.8,221.81,106.08,0.01
28.55,6.8,222.15,106.08,0.01
28.6,6.79,222.49,106.08,0.01
28.65,6.78,222.83,106.08,0.01
28.7,6.78,223.17,106.08,0.01
28.75,6.77,223.51,106.08,0.01
28.8,6.77,223.84,106.08,0.01
28.85,6.76,224.18,106.08,0.01
28.9,6.75,224.52,106.08,0.01
28.95,6.75,224.86,106.08,0.01
29.0,6.74,225.19,106.08,0.01
29.05,6.74,225.53,106.08,0.01
29.1,6.73,225.87,106.08,0.01
29.15,6.72,226.2,106.08,0.01
29.2,6.72,226.54,106.08,0.01
29.25,6.71,226.87,106.08,0.01
29.3,6.71,227.21,106.08,0.01
29.35,6.7,227.54,106.08,0.01
29.4,6.69,227.88,106.08,0.01
29.45,6.69,228.21,106.08,0.01
29.5,6.68,228.55,106.08,0.01
29.55,6.68,228.88,106.08,0.01
29.6,6.67,229.22,106.08,0.01
29.65,6.66,229.55,106.08,0.01
29.7,6.66,229.88,106.08,0.01
29.75,6.65,230.21,106.08,0.01
29.8,6.65,230.55,106.08,0.01
29.85,6.64,230.88,106.08,0.01
29.9,6.63,231.21,106.08,0.01
29.95,6.63,231.54,106.08,0.01
30.0,6.62,231.87,106.08,0.01
30.05,6.62,232.2,106.08,0.01
30.1,6.61,232.53,106.08,0.01
30.15,6.6,232.86,106.08,0.01
30.2,6.6,233.19,106.08,0.01
30.25,6.59,233.52,106.08,0.01
30.3,6.59,233.85,106.08,0.01
30.35,6.58,234.18,106.08,0.01
30.4,6.57,234.51,106.08,0.01
30.45,6.57,234.84,106.08,0.01
30.5,6.56,235.17,106.08,0.01
30.55,6.56,235.49,106.08,0.01
30.6,6.55,235.82,106.08,0.01
30.65,6.55,236.15,106.08,0.01
30.7,6.54,236.48,106.08,0.01
30.75,6.53,236.8,106.08,0.01
30.8,6.53,237.13,106.08,0.01
30.85,6.52,237.46,106.08,0.01
30.9,6.52,237.78,106.08,0.01
30.95,6.51,238.11,106.08,0.01
31.0,6.5,238.43,106.08,0.01
31.05,6.5,238.76,106.08,0.01
31.1,6.49,239.08,106.08,0.01
31.15,6.49,239.41,106.08,0.01
31.2,6.48,239.73,106.08,0.01
31.25,6.48,240.05,106.08,0.01
31.3,6.47,240.38,106.08,0.01
31.35,6.46,240.7,106.08,0.01
31.4,6.46,241.02,106.08,0.01
31.45,6.45,241.35,106.08,0.01
31.5,6.45,241.67,106.08,0.01
31.55,6.44,241.99,106.08,0.01
31.6,6.43,242.31,106.08,0.01
31.65,6.43,242.63,106.08,0.01
31.7,6.42,242.95,106.08,0.01
31.75,6.42,243.28,106.08,0.01
31.8,6.41,243.6,106.08,0.01
31.85,6.41,243.92,106.08,0.01
31.9,6.4,244.24,106.08,0.01
31.95,6.39,244.56,106.08,0.01
32.0,6.39,244.88,106.08,0.01
32.05,6.38,245.19,106.08,0.01
32.1,6.38,245.51,106.08,0.01
32.15,6.37,245.83,106.08,0.01
32.2,6.36,246.15,106.08,0.01
32.25,6.36,246.47,106.08,0.01
32.3,6.35,246.79,106.08,0.01
32.35,6.35,247.1,106.08,0.01
32.4,6.34,247.42,106.08,0.01
32.45,6.34,247.74,106.08,0.01
32.5,6.33,248.05,106.08,0.01
32.55,6.32,248.37,106.08,0.01
32.6,6.32,248.69,106.08,0.01
32.65,6.31,249.0,106.08,0.01
32.7,6.31,249.32,106.08,0.01
32.75,6.3,249.63,106.08,0.01
32.8,6.3,249.95,106.08,0.01
32.85,6.29,250.26,106.08,0.01
32.9,6.28,250.58,106.08,0.01
32.95,6.28,250.89,106.08,0.01
33.0,6.27,251.2,106.08,0.01
33.05,6.27,251.52,106.08,0.01
33.1,6.26,251.83,106.08,0.01
33.15,6.26,252.14,106.08,0.01
33.2,6.25,252.45,106.08,0.01
33.25,6.24,252.77,106.08,0.01
33.3,6.24,253.08,106.08,0.01
33.35,6.23,253.39,106.08,0.01
33.4,6.23,253.7,106.08,0.01
33.45,6.22,254.01,106.08,0.01
33.5,6.22,254.32,106.08,0.01
33.55,6.21,254.63,106.08,0.01
33.6,6.2,254.94,106.08,0.01
33.65,6.2,255.25,106.08,0.01
33.7,6.19,255.56,106.08,0.01
33.75,6.19,255.87,106.08,0.01
33.8,6.18,256.18,106.08,0.01
33.85,6.18,256.49,106.08,0.01
33.9,6.17,256.8,106.08,0.01
33.95,6.16,257.11,106.08,0.01
34.0,6.16,257.41,106.08,0.01
34.05,6.15,257.72,106.08,0.01
34.1,6.15,258.03,106.08,0.01
34.15,6.14,258.34,106.08,0.01
34.2,6.14,258.64,106.08,0.01
34.25,6.13,258.95,106.08,0.01
34.3,6.12,259.26,106.08,0.01
34.35,6.12,259.56,106.08,0.01
34.4,6.11,259.87,106.08,0.01
34.45,6.11,260.17,106.08,0.01
34.5,6.1,260.48,106.08,0.01
34.55,6.1,260.78,106.08,0.01
34.6,6.09,261.09,106.08,0.01
34.65,6.08,261.39,106.08,0.01
34.7,6.08,261.7,106.08,0.01
