Time Step,Kart Accel,Vehicle Speed,Total Distance,Clutch Slip,BSFC,RPM,Torque
7.2,-0.17,10.46,48.15,0.0,1.22,3611.7,6.9
7.25,-0.17,10.45,48.67,0.0,1.22,3608.7,6.9
7.3,-0.17,10.44,49.19,0.0,1.22,3605.71,6.9
7.35,-0.17,10.43,49.71,0.0,1.22,3602.72,6.9
7.4,-0.17,10.42,50.23,0.0,1.22,3599.73,6.9
7.45,1.86,10.52,50.76,0.0,1.24,3631.93,6.9
7.5,-0.17,10.51,51.28,0.0,1.24,3628.92,6.9
7.55,-0.17,10.5,51.81,0.0,1.24,3625.91,6.9
7.6,-0.17,10.49,52.33,0.0,1.24,3622.9,6.9
7.65,-0.17,10.48,52.86,0.0,1.24,3619.89,6.9
7.7,-0.17,10.47,53.38,0.0,1.24,3616.89,6.9
7.75,-0.17,10.46,53.9,0.0,1.24,3613.89,6.9
7.8,-0.17,10.45,54.43,0.0,1.24,3610.89,6.9
7.85,-0.17,10.45,54.95,0.0,1.24,3607.89,6.9
7.9,-0.17,10.44,55.47,0.0,1.24,3604.9,6.9
7.95,-0.17,10.43,55.99,0.0,1.24,3601.91,6.9
8.0,-0.17,10.42,56.51,0.0,1.24,3598.92,6.9
8.05,1.87,10.51,57.04,0.0,1.26,3631.13,6.9
8.1,-0.17,10.5,57.56,0.0,1.26,3628.11,6.9
8.15,-0.17,10.5,58.09,0.0,1.26,3625.1,6.9
8.2,-0.17,10.49,58.61,0.0,1.26,3622.09,6.9
8.25,-0.17,10.48,59.14,0.0,1.26,3619.09,6.9
8.3,-0.17,10.47,59.66,0.0,1.26,3616.08,6.9
8.35,-0.17,10.46,60.18,0.0,1.26,3613.08,6.9
8.4,-0.17,10.45,60.71,0.0,1.26,3610.09,6.9
8.45,-0.17,10.44,61.23,0.0,1.26,3607.09,6.9
8.5,-0.17,10.44,61.75,0.0,1.26,3604.1,6.9
8.55,-0.17,10.43,62.27,0.0,1.26,3601.11,6.9
8.6,-0.17,10.42,62.79,0.0,1.26,3598.12,6.9
8.65,1.87,10.51,63.32,0.0,1.27,3630.33,6.9
8.7,-0.17,10.5,63.84,0.0,1.27,3627.32,6.9
8.75,-0.17,10.49,64.37,0.0,1.27,3624.31,6.9
8.8,-0.17,10.49,64.89,0.0,1.27,3621.3,6.9
8.85,-0.17,10.48,65.42,0.0,1.27,3618.29,6.9
8.9,-0.17,10.47,65.94,0.0,1.27,3615.29,6.9
8.95,-0.17,10.46,66.46,0.0,1.27,3612.29,6.9
9.0,-0.17,10.45,66.99,0.0,1.27,3609.29,6.9
9.05,-0.17,10.44,67.51,0.0,1.27,3606.3,6.9
9.1,-0.17,10.43,68.03,0.0,1.27,3603.31,6.9
9.15,-0.17,10.42,68.55,0.0,1.27,3600.32,6.9
9.2,-0.17,10.42,69.07,0.0,1.29,3597.33,6.9
9.25,1.87,10.51,69.6,0.0,1.31,3629.54,6.9
9.3,-0.17,10.5,70.12,0.0,1.31,3626.53,6.9
9.35,-0.17,10.49,70.65,0.0,1.31,3623.52,6.9
9.4,-0.17,10.48,71.17,0.0,1.31,3620.51,6.9
9.45,-0.17,10.47,71.69,0.0,1.31,3617.51,6.9
9.5,-0.17,10.47,72.22,0.0,1.31,3614.51,6.9
9.55,-0.17,10.46,72.74,0.0,1.31,3611.51,6.9
9.6,-0.17,10.45,73.26,0.0,1.31,3608.51,6.9
9.65,-0.17,10.44,73.78,0.0,1.31,3605.52,6.9
